epoch,step,train_Energy_MAE,train_Energy_RMSE,train_Force_MAE,train_Force_RMSE,train_Magmom_MAE,train_Magmom_RMSE,train_Stress_MAE,train_Stress_RMSE,train_Total_Loss,val_Energy_MAE,val_Energy_RMSE,val_Force_MAE,val_Force_RMSE,val_Magmom_MAE,val_Magmom_RMSE,val_Stress_MAE,val_Stress_RMSE,val_Total_Loss
0,12183,,,,,,,,,,0.13898713886737823,0.1864180713891983,0.26614806056022644,0.5124753713607788,0.0,0.0,1.3338069915771484,2.604264736175537,1.3718594312667847
0,12183,0.23335835337638855,0.3032526969909668,0.3312147557735443,0.7618188858032227,0.0,0.0,1.724947214126587,3.424370527267456,7.880883693695068,,,,,,,,,
1,24367,,,,,,,,,,0.11417891830205917,0.1569327861070633,0.2448393553495407,0.4911728799343109,0.0,0.0,1.172636866569519,2.3593060970306396,1.3128875494003296
1,24367,0.13658903539180756,0.18216457962989807,0.27272936701774597,0.6191110610961914,0.0,0.0,1.27972412109375,2.5393588542938232,8.02230453491211,,,,,,,,,
